campaign_id,section_id,campaign_date,data_provider,contact_email,reference,notes
CAMP_001,FRA_ARC_S01,2023-06-15,J. Le Guern - EDYTEM,jules.leguern@univ-smb.fr,,Snowmelt flood event
CAMP_002,FRA_ARC_S01,2023-07-20,J. Le Guern - EDYTEM,jules.leguern@univ-smb.fr,,Baseflow conditions
CAMP_003,CHE_VENOGE_S01,2022-05-10,EPFL - LHE,contact@epfl.ch,doi:10.1234/example2022,Spring high flow
CAMP_004,USA_SNAKE_S01,2021-08-05,USGS - Idaho Water Science Center,usgs@example.gov,,Summer baseflow
CAMP_005,ITA_ADIGE_S01,2023-10-12,Università di Trento,contact@unitn.it,doi:10.5678/adige2023,Autumn flood event
CAMP_006,FRA_ARC_S02,2024-05-08,J. Le Guern - EDYTEM,jules.leguern@univ-smb.fr,,Comparative study downstream
CAMP_007,CHE_VENOGE_S02,2023-03-15,EPFL - LHE,contact@epfl.ch,,Early spring conditions
CAMP_008,FRA_ARC_S01,2024-06-01,J. Le Guern - EDYTEM,jules.leguern@univ-smb.fr,,Follow-up measurement
CAMP_009,USA_SNAKE_S01,2020-06-18,USGS - Idaho Water Science Center,usgs@example.gov,doi:10.9876/snake2020,Snowmelt peak flow
CAMP_010,ITA_ADIGE_S01,2022-09-22,Università di Trento,contact@unitn.it,,Baseflow sampling
